{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(373.2885390923806), 'rmse': np.float64(19.32067646570328), 'r2': 0.9081539450717079}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'adam', 'time_window': 72, 'batch_size': 32, 'mse': np.float64(427.2527615846872), 'rmse': np.float64(20.670093410158728), 'r2': 0.8962154702420388}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 32, 'mse': np.float64(327.8687891657199), 'rmse': np.float64(18.10714746076035), 'r2': 0.9193292810644397}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 72, 'batch_size': 64, 'mse': np.float64(488.010057720434), 'rmse': np.float64(22.09094967900733), 'r2': 0.881456835598167}
{'neurons': 50, 'dropout': 0.2, 'h_layers': 4, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(408.56620004466697), 'rmse': np.float64(20.213020557172225), 'r2': 0.89947402686837}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'adam', 'time_window': 24, 'batch_size': 16, 'mse': np.float64(247.66292067948683), 'rmse': np.float64(15.737309829811664), 'r2': 0.9390635933486292}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 32, 'mse': np.float64(377.66354982785464), 'rmse': np.float64(19.433567604221686), 'r2': 0.9066937436102159}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 16, 'mse': np.float64(368.9337958680152), 'rmse': np.float64(19.207649410274417), 'r2': 0.9088505327988146}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 8, 'batch_size': 64, 'mse': np.float64(364.269862144095), 'rmse': np.float64(19.085855027849682), 'r2': 0.9100028129064062}
{'neurons': 100, 'dropout': 0.1, 'h_layers': 2, 'optimizer': 'rmsprop', 'time_window': 24, 'batch_size': 64, 'mse': np.float64(354.9885705716181), 'rmse': np.float64(18.841140373438602), 'r2': 0.9126565743729734}
